"","Address","Latitude","Longitude","City"
"1","19 Union St Boston, MA, 02108",42.3608802,-71.0567251,"Boston"
"2","101 Harborside Dr Boston, MA, 02128",42.3592641,-71.0272118,"Boston"
"3","774 Boylston St Boston, MA, 02199",42.3488587,-71.0810899,"Boston"
"4","1401 Washington St Boston, MA, 02118",42.3412541,-71.0701926,"Boston"
"5","255 State St Boston, MA, 02109",42.3593857,-71.0513553,"Boston"
"6","266 Commercial St Boston, MA, 02109",42.364317,-71.051351,"Boston"
"7","409 Chelsea St Boston, MA, 02128",42.3798529,-71.0268636,"Boston"
"8","500 Commonwealth Ave Boston, MA, 02215",42.3486282,-71.0952228,"Boston"
"9","225 Northern Ave Boston, MA, 02210",42.3483314,-71.0385873,"Boston"
"10","323 Hanover St Boston, MA, 02113",42.3640621,-71.0539724,"Boston"
"11","83 Essex St Boston, MA, 02111",42.3523984,-71.0602081,"Boston"
"12","900 Boylston St Boston, MA, 02115",42.3475962,-71.0851772,"Boston"
"13","40 Court St Boston, MA, 02108",42.3588496,-71.0592945,"Boston"
"14","45 Beach St Boston, MA, 02111",42.3513171,-71.060926,"Boston"
"15","15 Union St Boston, MA, 02108",42.36085,-71.056624,"Boston"
"16","80 Atlantic Ave Boston, MA, 02110",42.362474,-71.0505556,"Boston"
"17","761 Boylston St Boston, MA, 02116",42.3492534,-71.0811514,"Boston"
"18","752 Bennington St East Boston, MA, 02128",42.3855814,-71.0108213,"Boston"
"19","300 Northern Ave Boston, MA, 02210",42.3479724,-71.0358488,"Boston"
"20","75 Chestnut St Boston, MA, 02108",42.3569134,-71.0709941,"Boston"
"21","340 N Market St Boston, MA, 02109",42.3605442,-71.0552566,"Boston"
"22","20 Charles St Boston, MA, 02114",42.3565591,-71.0697892,"Boston"
"23","206 Faneuil Hall Marketplace Boston, MA, 02109",42.3603769,-71.0549315,"Boston"
"24","Faneuil Hall Marketplace Boston, MA, 02109",42.3603769,-71.0549315,"Boston"
"25","15 Northern Ave Boston, MA, 02210",42.3549799,-71.0509465,"Boston"
"26","793 Boylston St Boston, MA, 02116",42.3492394,-71.0816024,"Boston"
"27","5 Hudson St Boston, MA, 02111",42.350931,-71.0601999,"Boston"
"28","1 Seaport Ln Boston, MA, 02210",42.34924,-71.0415124,"Boston"
"29","106 Bunker Hill St Charlestown, MA, 02129",42.3775161,-71.0586242,"Boston"
"30","66 Beach St Boston, MA, 02111",42.3514043,-71.0600374,"Boston"
"31","63 Salem St Boston, MA, 02113",42.3632371,-71.055975,"Boston"
"32","510 Atlantic Ave Boston, MA, 02210",42.3536908,-71.0519125,"Boston"
"33","200 Atlantic Ave Boston, MA, 02110",42.3603203,-71.0512967,"Boston"
"34","550 Tremont St Boston, MA, 02116",42.343915,-71.071329,"Boston"
"35","270 Northern Ave Boston, MA, 02210",42.3486426,-71.0377109,"Boston"
"36","7 Drydock Ave Boston, MA, 02210",42.3444999,-71.0365832,"Boston"
"37","26 Porter St East Boston, MA, 02128",42.3746613,-71.0378793,"Boston"
"38","15 Fish Pier Rd Boston, MA, 02210",42.3503378,-71.0380163,"Boston"
"39","2 Northern Ave Boston, MA, 02210",42.354338,-71.0479456,"Boston"
"40","41 Union St Boston, MA, 02108",42.3612512,-71.0569499,"Boston"
"41","60 Long Wharf Boston, MA, 02110",42.3601671,-71.0495214,"Boston"
"42","135 Market St Brighton, MA, 02135",42.3577819,-71.1485205,"Boston"
"43","100 Huntington Ave Boston, MA, 02116",42.3471447,-71.0773777,"Boston"
"44","26 Park Plz Boston, MA, 02116",42.3509603,-71.0677556,"Boston"
"45","88 Sleeper St Boston, MA, 02210",42.3538179,-71.0486393,"Boston"
"46","353 Cambridge St Allston, MA, 02134",42.356104,-71.1324579,"Boston"
"47","27 Beach St Boston, MA, 02111",42.3512603,-71.0618016,"Boston"
"48","135 Richmond St Boston, MA, 02109",42.3632722,-71.0541008,"Boston"
"49","1560 Vfw Pkwy West Roxbury, MA, 02132",42.2668244,-71.1685472,"Boston"
"50","686 Morton St Boston, MA, 02126",42.2847472,-71.0920479,"Boston"
"51","1856 Centre St West Roxbury, MA, 02132",42.2860147,-71.1545676,"Boston"
"52","272 Adams St Dorchester, MA, 02122",42.299952,-71.0579946,"Boston"
"53","50 Dalton St Boston, MA, 02115",42.3469888,-71.085711,"Boston"
"54","270 Adams St Dorchester, MA, 02122",42.2999728,-71.0585517,"Boston"
"55","87 A St Boston, MA, 02127",42.3424348,-71.0545821,"Boston"
"56","25 Tyler St Boston, MA, 02111",42.3506704,-71.0609622,"Boston"
"57","220 Northern Ave Boston, MA, 02210",42.3491069,-71.0388891,"Boston"
"58","Location Varies Boston, MA, 02201",42.358158,-71.0585053,"Boston"
"59","1375 Washington Street Boston, MA, 02118",42.3415092,-71.0695165,"Boston"
"60","296 State St Boston, MA, 02109",42.3602243,-71.0508754,"Boston"
"61","1735 Centre St West Roxbury, MA, 02132",42.2874312,-71.1497486,"Boston"
"62","313 Old Colony Ave South Boston, MA, 02127",42.329517,-71.052818,"Boston"
"63","505 Massachusetts Ave Roxbury, MA, 02118",42.3390182,-71.0804392,"Boston"
"64","657 Washington St Dorchester Center, MA, 02124",42.2887727,-71.07147,"Boston"
"65","529 Washington St Brighton, MA, 02135",42.349175,-71.1629077,"Boston"
"66","4025 Washington St Roslindale, MA, 02131",42.2919422,-71.1225008,"Boston"
"67","433 Faneuil St Brighton, MA, 02135",42.351266,-71.1683908,"Boston"
"68","243 Dorchester St South Boston, MA, 02127",42.3328355,-71.0513289,"Boston"
"69","467 W Broadway Boston, MA, 02127",42.3356905,-71.0463159,"Boston"
"70","1 Harborside Dr Boston, MA, 02128",42.3634422,-71.0257812,"Boston"
"71","1041 Tremont St Roxbury Crossing, MA, 02120",42.3365999,-71.0857765,"Boston"
"72","49 Warren St Roxbury, MA, 02119",42.3291303,-71.0837041,"Boston"
"73","1 Charles St Boston, MA, 02108",42.3564175,-71.0694344,"Boston"
"74","160 Milk Street Boston, MA, 02109",42.358714,-71.052724,"Boston"
"75","383 Congress St Fort Point, MA, 02210",42.3495958,-71.0475283,"Boston"
"76","558 Washington St Boston, MA, 02111",42.3537039,-71.0622324,"Boston"
"77","10 City Sq Charlestown, MA, 02129",42.3723837,-71.0616159,"Boston"
"78","75 Exeter St Boston, MA, 02116",42.3488381,-71.0794555,"Boston"
"79","5 High St Boston, MA, 02110",42.3531856,-71.0567199,"Boston"
"80","25 Union Wharf Portland, ME, 04101",43.6540933,-70.2534285,"Portland"
"81","5 Portland Portland, ME, 04101",43.6587381,-70.262005,"Portland"
"82","92 Commercial St Portland, ME, 04101",43.6568441,-70.2505061,"Portland"
"83","93 Commercial St Portland, ME, 04101",43.6573362,-70.2506683,"Portland"
"84","1135 Forest Ave Portland, ME, 04103",43.6860231,-70.2918727,"Portland"
"85","15 Exchange St Portland, ME, 04101",43.6569016,-70.2534878,"Portland"
"86","33 Wharf St Portland, ME, 04101",43.6558841,-70.2540164,"Portland"
"87","225 Two Lights Rd Cape Elizabeth, ME, 04107",43.564353,-70.198458,"Portland"
"88","215 Foreside Rd Falmouth, ME, 04105",43.7288958,-70.2093851,"Portland"
"89","380 Gorham Rd Portland, ME, 04106",43.6361051,-70.3319528,"Portland"
"90","1901 Ashley River Rd Charleston, SC, 29407",32.8055362,-80.0222382,"Charleston"
"91","800 Century Pl Charleston, SC, 29412",32.7365658,-79.9507192,"Charleston"
"92","38 Romney St Charleston, SC, 29403",32.8082783,-79.944999,"Charleston"
"93","549 E Bay St Charleston, SC, 29403",32.7920002,-79.9314585,"Charleston"
"94","10 Exchange St Charleston, SC, 29401",32.7768389,-79.9261996,"Charleston"
"95","145 Wappoo Creek Drive Charleston, SC, 29412",32.7655866,-79.9748279,"Charleston"
"96","41 S Market St Charleston, SC, 29401",32.7807917,-79.9282554,"Charleston"
"97","8486 Dorchester Rd Charleston, SC, 29420",32.9178954,-80.113,"Charleston"
"98","186 Concord St Charleston, SC, 29401",32.7803972,-79.9247328,"Charleston"
"99","837 Folly Rd Charleston, SC, 29412",32.737575,-79.966946,"Charleston"
"100","504 Folly Rd Charleston, SC, 29412",32.7546104,-79.9718564,"Charleston"
"101","153 E Bay St Charleston, SC, 29401",32.7781761,-79.927206,"Charleston"
"102","442 King St Charleston, SC, 29403",32.7887425,-79.9380921,"Charleston"
"103","39 John St Charleston, SC, 29403",32.7882886,-79.9370647,"Charleston"
"104","167 E Bay St Charleston, SC, 29401",32.7787775,-79.9273591,"Charleston"
"105","12 Anson St Charleston, SC, 29401",32.7817611,-79.9289112,"Charleston"
"106","1936 Savannah Hwy Charleston, SC, 29407",32.7892096,-80.0247385,"Charleston"
"107","4008 Rivers Ave Charleston, SC, 29405",32.8655566,-79.9887144,"Charleston"
"108","5130 Ashley Phosphate Rd Charleston, SC, 29418",32.9161868,-80.105756,"Charleston"
"109","6326 Rivers Ave North Charleston, SC, 29410",32.9114158,-80.0236904,"Charleston"
"110","99 S Market St Charleston, SC, 29401",32.7804165,-79.9309005,"Charleston"
"111","35 S Market St Charleston, SC, 29401",32.7806886,-79.9281525,"Charleston"
"112","2080 Sam Rittenburg Blvd Charleston, SC, 29407",32.7925474,-80.0315092,"Charleston"
"113","2460 Mall Dr North Charleston, SC, 29406",32.8766828,-80.0143219,"Charleston"
"114","171 E Bay St Charleston, SC, 29401",32.778945,-79.9272716,"Charleston"
"115","10 Hayne St Charleston, SC, 29401",32.7819497,-79.9298949,"Charleston"
"116","213 Meeting St Charleston, SC, 29401",32.7815261,-79.9318076,"Charleston"
"117","205 E Bay St Charleston, SC, 29401",32.780193,-79.9273161,"Charleston"
"118","9 Magnolia Road Charleston, SC, 29407",32.7824966,-79.985971,"Charleston"
